Dataset Size,Time Taken
100,0.001107
100,0.0013359
100,0.0032253
100,0.1043239
100,0.3106642
100,0.144621
105,0.0024183
105,0.0012518
105,0.0018698
105,0.0302284
105,0.144285
105,0.0610197
110,0.00091
110,0.0011065
110,0.0019052
110,0.03275
110,0.1458901
110,0.0486606
115,0.0010533
115,0.00141
115,0.0024037
115,0.0483404
115,0.11245
115,0.0346546
120,0.0008678
120,0.0017695
120,0.0022704
120,0.0411855
120,0.1113451
120,0.0347809
125,0.0009526
125,0.0015025
125,0.0034735
125,0.0444402
125,0.0997577
125,0.0400415
130,0.0012682
130,0.001741
130,0.0031417
130,0.0392851
130,0.1723488
130,0.0447671
135,0.0011557
135,0.0018057
135,0.0027031
135,0.0493371
135,0.0918247
135,0.0258974
140,0.0010643
140,0.0016212
140,0.0023111
140,0.0299184
140,0.113545
140,0.0290392
145,0.0008578
145,0.0014486
145,0.0023038
145,0.0397625
145,0.109272
145,0.0636402
150,0.0011381
150,0.0015227
150,0.0030614
150,0.0329597
150,0.1271219
150,0.036051
155,0.001036
155,0.0014538
155,0.0029303
155,0.0433622
155,0.1123574
155,0.0434445
160,0.0010417
160,0.0017672
160,0.0039966
160,0.0719733
160,0.1248026
160,0.061448
165,0.0012089
165,0.002144
165,0.0031865
165,0.0528857
165,0.1556784
165,0.0570934
170,0.0009953
170,0.0014088
170,0.0024661
170,0.0745051
170,0.1034375
170,0.0415425
175,0.0011466
175,0.0017327
175,0.0041651
175,0.0449531
175,0.1105857
175,0.0455946
180,0.0008516
180,0.0018605
180,0.0027974
180,0.0373315
180,0.1361804
180,0.0458734
185,0.0008668
185,0.0015837
185,0.0047357
185,0.0387685
185,0.1144717
185,0.03989
190,0.0011171
190,0.0015982
190,0.003358
190,0.048396
190,0.1385439
190,0.0749284
195,0.0014365
195,0.0020311
195,0.0028859
195,0.0434585
195,0.1563976
195,0.0499508
200,0.0013301
200,0.0026806
200,0.0033432
200,0.0576673
200,0.2240308
200,0.1079096
205,0.001068
205,0.0019417
205,0.0049481
205,0.0404485
205,0.1374043
205,0.0654526
210,0.0015739
210,0.0027011
210,0.0054951
210,0.0449106
210,0.2179986
210,0.1147357
215,0.0008808
215,0.0037343
215,0.0032477
215,0.0400576
215,0.1468695
215,0.0517064
220,0.0011334
220,0.0020507
220,0.0032688
220,0.0434466
220,0.1481332
220,0.0931037
225,0.0011786
225,0.0027359
225,0.005951
225,0.0477995
225,0.2462484
225,0.1178541
230,0.0018359
230,0.0019374
230,0.0058792
230,0.0829699
230,0.1727594
230,0.1529655
235,0.00123
235,0.0021004
235,0.0035373
235,0.0446944
235,0.1344537
235,0.0591546
240,0.0012052
240,0.0017643
240,0.0054116
240,0.0786708
240,0.1986612
240,0.1290587
245,0.001056
245,0.0022661
245,0.0118435
245,0.1179474
245,0.2705144
245,0.0925875
250,0.0010602
250,0.0022454
250,0.005344
250,0.0748037
250,0.1908817
250,0.0925669
255,0.0008857
255,0.0024451
255,0.0045424
255,0.0581733
255,0.1635411
255,0.0774356
260,0.0014931
260,0.0020328
260,0.0040195
260,0.0589062
260,0.2596259
260,0.0796739
265,0.0021834
265,0.0020554
265,0.0039176
265,0.1048603
265,0.2142187
265,0.0888825
270,0.0011184
270,0.0045182
270,0.0049999
270,0.052239
270,0.1590589
270,0.0538819
275,0.0011641
275,0.00216
275,0.0094512
275,0.0596146
275,0.1450358
275,0.0599938
280,0.001875
280,0.0022095
280,0.0070768
280,0.0495291
280,0.1759384
280,0.097888
285,0.0016527
285,0.0022991
285,0.0083002
285,0.1180876
285,0.1648226
285,0.0708105
290,0.0012081
290,0.002193
290,0.0036736
290,0.0475379
290,0.1840696
290,0.0696648
295,0.0012855
295,0.002016
295,0.0038655
295,0.0483316
295,0.1649287
295,0.0678761
300,0.0011054
300,0.002231
300,0.0042447
300,0.0945513
300,0.1627208
300,0.1121936
305,0.0010883
305,0.0026645
305,0.0047329
305,0.0443429
305,0.1566828
305,0.0888831
310,0.0016254
310,0.0023026
310,0.0073316
310,0.0518441
310,0.1509295
310,0.0669196
315,0.0013857
315,0.0022699
315,0.0044319
315,0.0469492
315,0.1855715
315,0.0762412
320,0.0012249
320,0.00234
320,0.0050434
320,0.0561046
320,0.1738696
320,0.0819306
325,0.0012246
325,0.0024835
325,0.0049264
325,0.0554291
325,0.2064708
325,0.0755646
330,0.0016039
330,0.0027731
330,0.0049217
330,0.0596339
330,0.1898053
330,0.1007851
335,0.0012959
335,0.0025099
335,0.0048305
335,0.0473774
335,0.1632882
335,0.0593786
340,0.0011994
340,0.0034611
340,0.0047608
340,0.0518327
340,0.2062338
340,0.0608157
345,0.0014279
345,0.002753
345,0.0046352
345,0.0680317
345,0.1850981
345,0.0787052
350,0.0012701
350,0.0023905
350,0.0049508
350,0.0619635
350,0.2037667
350,0.0680189
355,0.0015911
355,0.0028009
355,0.005844
355,0.0565234
355,0.2090419
355,0.1044529
360,0.00114
360,0.0037822
360,0.0050865
360,0.0658275
360,0.2069708
360,0.0699474
365,0.0013501
365,0.0022791
365,0.0045849
365,0.0586544
365,0.2739056
365,0.0938639
370,0.001286
370,0.0040359
370,0.0050994
370,0.0475334
370,0.1961994
370,0.0690241
375,0.0012107
375,0.0029606
375,0.004361
375,0.1019587
375,0.1843643
375,0.0868931
380,0.0011445
380,0.0032235
380,0.0052509
380,0.2640339
380,0.2755111
380,0.1061329
385,0.0012564
385,0.0027732
385,0.004819
385,0.0578011
385,0.1971693
385,0.0671097
390,0.0012212
390,0.0027136
390,0.0071041
390,0.0833826
390,0.2886783
390,0.0895242
395,0.0018025
395,0.0043797
395,0.006612
395,0.1245054
395,0.2655879
395,0.1330165
400,0.001263
400,0.0046416
400,0.0083993
400,0.088395
400,0.3740781
400,0.0879363
405,0.0019906
405,0.0045025
405,0.0064108
405,0.0726173
405,0.2752133
405,0.0984927
410,0.0014955
410,0.0026472
410,0.0067568
410,0.1172617
410,0.2781236
410,0.0844842
415,0.0012038
415,0.056443
415,0.0048542
415,0.0749424
415,0.2447446
415,0.0994129
420,0.0015057
420,0.0029534
420,0.005141
420,0.054919
420,0.2721482
420,0.0848956
425,0.0017392
425,0.0026921
425,0.0055236
425,0.053964
425,0.2153827
425,0.0951643
430,0.0011723
430,0.0035984
430,0.0403275
430,0.0713002
430,0.2186729
430,0.0795194
435,0.0013502
435,0.0032322
435,0.0055609
435,0.0504357
435,0.2438058
435,0.0888681
440,0.0015346
440,0.0027492
440,0.0059575
440,0.0555874
440,0.1987223
440,0.0879298
445,0.0012125
445,0.0035333
445,0.0396574
445,0.0624182
445,0.2080852
445,0.0831015
450,0.0010677
450,0.0027007
450,0.0048884
450,0.0556502
450,0.2834706
450,0.0830683
455,0.0013461
455,0.0376304
455,0.0056795
455,0.0893668
455,0.4219929
455,0.2059632
460,0.001552
460,0.005515
460,0.0123281
460,0.1350698
460,0.3844436
460,0.1296905
465,0.0022105
465,0.003013
465,0.0053353
465,0.0894872
465,0.3048752
465,0.0780037
470,0.0013331
470,0.0043113
470,0.0051325
470,0.0568374
470,0.4104733
470,0.1355749
475,0.0019169
475,0.0051122
475,0.0061615
475,0.0770723
475,0.2160683
475,0.0895093
480,0.0014353
480,0.0038052
480,0.0113976
480,0.0832382
480,0.2937228
480,0.08721
485,0.0018043
485,0.0029156
485,0.006326
485,0.0633595
485,0.2517517
485,0.10749
490,0.0018712
490,0.0030939
490,0.00585
490,0.084108
490,0.2282158
490,0.086027
495,0.00138
495,0.0054198
495,0.0060937
495,0.1113713
495,0.2316571
495,0.0870074
500,0.001493
500,0.003384
500,0.0053665
500,0.0859288
500,0.2711713
500,0.092641
505,0.0013903
505,0.0029902
505,0.0064198
505,0.0688389
505,0.2298032
505,0.1161321
510,0.0027092
510,0.0028723
510,0.0081645
510,0.0752307
510,0.2360984
510,0.0931941
515,0.0011687
515,0.0030216
515,0.0069918
515,0.0637481
515,0.2585729
515,0.0805676
520,0.0013634
520,0.0033669
520,0.0060345
520,0.0781302
520,0.2684722
520,0.0827399
525,0.0015549
525,0.0031005
525,0.0060523
525,0.0752787
525,0.2531888
525,0.0861521
530,0.0015951
530,0.0043891
530,0.0534053
530,0.0737689
530,0.2408362
530,0.0924097
535,0.001659
535,0.0039821
535,0.0068227
535,0.0630767
535,0.2685558
535,0.0846197
540,0.0019854
540,0.0030572
540,0.0153225
540,0.0669224
540,0.2344286
540,0.1121896
545,0.0015799
545,0.0033215
545,0.005921
545,0.0706589
545,0.2487398
545,0.0892199
550,0.0015528
550,0.0030001
550,0.0060626
550,0.1057934
550,0.2820089
550,0.1029111
555,0.0024425
555,0.0047818
555,0.006832
555,0.0919647
555,0.3344142
555,0.1115087
560,0.0020716
560,0.0043902
560,0.005676
560,0.0730924
560,0.3283782
560,0.105779
565,0.0013993
565,0.0040749
565,0.0063315
565,0.0822884
565,0.2884872
565,0.1437165
570,0.0017679
570,0.003102
570,0.0071671
570,0.0738808
570,0.2838647
570,0.1176963
575,0.0016126
575,0.0032397
575,0.006888
575,0.1109685
575,0.3134509
575,0.1095031
580,0.0016317
580,0.0036147
580,0.0067827
580,0.082346
580,0.3121615
580,0.1015978
585,0.0014322
585,0.0038251
585,0.0070386
585,0.0792164
585,0.2823181
585,0.1505029
590,0.0013599
590,0.0033661
590,0.0067018
590,0.0849729
590,0.2875622
590,0.1021155
595,0.0016726
595,0.0472547
595,0.0113703
595,0.095548
595,0.3054654
595,0.1052413
600,0.0016289
600,0.0034949
600,0.0069985
600,0.1191228
600,0.2980225
600,0.1084339
605,0.0016587
605,0.0034922
605,0.0074461
605,0.083249
605,0.3187753
605,0.1142195
610,0.002146
610,0.003694
610,0.0071163
610,0.0816407
610,0.3369291
610,0.1042163
