Dataset Size,Time Taken
100,0.0023072
100,0.0068634
100,0.0143154
100,0.1185265
100,0.3265302
100,0.2725193
105,0.0040684
105,0.0043243
105,0.0110942
105,0.040532
105,0.0894554
105,0.0378545
110,0.0024846
110,0.0045255
110,0.0064858
110,0.0467773
110,0.0789083
110,0.0427353
115,0.002673
115,0.0046573
115,0.0078673
115,0.0491008
115,0.1133997
115,0.0337852
120,0.0025099
120,0.0060574
120,0.0063286
120,0.0439957
120,0.0904952
120,0.0417378
125,0.0023436
125,0.0049257
125,0.0075637
125,0.0396274
125,0.0975405
125,0.0417604
130,0.002312
130,0.0071791
130,0.008336
130,0.0684036
130,0.1069644
130,0.0440191
135,0.0031018
135,0.0050401
135,0.007171
135,0.0360529
135,0.0736528
135,0.0338501
140,0.002707
140,0.006736
140,0.011065
140,0.0451928
140,0.090692
140,0.0359182
145,0.0025448
145,0.0051649
145,0.006779
145,0.0369916
145,0.1205565
145,0.0333736
150,0.002397
150,0.0053312
150,0.0067161
150,0.038747
150,0.1027928
150,0.0420306
155,0.0023145
155,0.0051071
155,0.0069296
155,0.0407032
155,0.1035544
155,0.050146
160,0.0025214
160,0.0050571
160,0.0070928
160,0.0512045
160,0.1189927
160,0.0583984
165,0.0026954
165,0.0069274
165,0.0097679
165,0.0591321
165,0.1261065
165,0.0596293
170,0.0024331
170,0.0081935
170,0.0082885
170,0.0653202
170,0.0905884
170,0.0375272
175,0.0024682
175,0.005109
175,0.0077628
175,0.0525098
175,0.1197512
175,0.0439961
180,0.0024015
180,0.0058076
180,0.0087222
180,0.0455187
180,0.098703
180,0.0499926
185,0.002765
185,0.0050491
185,0.0087026
185,0.0830688
185,0.1055312
185,0.0418462
190,0.0025677
190,0.0050485
190,0.0091358
190,0.047824
190,0.1122246
190,0.0541727
195,0.0024909
195,0.0057438
195,0.0081854
195,0.0606284
195,0.1452208
195,0.0932896
200,0.0043955
200,0.0062514
200,0.0107613
200,0.0632453
200,0.1548045
200,0.0666796
205,0.0027091
205,0.0056433
205,0.0092531
